,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
55,DD,"DUPONT DE NEMOURS, INC.",2025-12-31,10-K,2026-02-17,715000000.0,,-126000000.0,,1693000000.0,,13919000000.0,21575000000.0,7472000000.0
54,DD,"DUPONT DE NEMOURS, INC.",2025-09-30,10-K,2026-02-17,,,-123000000.0,,1795000000.0,,,,
53,DD,"DUPONT DE NEMOURS, INC.",2025-06-30,10-K,2026-02-17,,,59000000.0,,1749000000.0,,,,
52,DD,"DUPONT DE NEMOURS, INC.",2025-03-31,10-K,2026-02-17,,,-589000000.0,,1612000000.0,,,,
50,DD,"DUPONT DE NEMOURS, INC.",2024-12-31,10-K,2025-02-14,1850000000.0,,703000000.0,,12386000000.0,,23350000000.0,36636000000.0,12843000000.0
51,DD,"DUPONT DE NEMOURS, INC.",2024-12-31,10-K,2026-02-17,1792000000.0,,-117000000.0,,1689000000.0,,23350000000.0,36636000000.0,12843000000.0
49,DD,"DUPONT DE NEMOURS, INC.",2024-09-30,10-K,2026-02-17,,,454000000.0,,1714000000.0,,,,
48,DD,"DUPONT DE NEMOURS, INC.",2024-06-30,10-K,2026-02-17,,,178000000.0,,1717000000.0,,,,
47,DD,"DUPONT DE NEMOURS, INC.",2024-03-31,10-K,2026-02-17,,,188000000.0,,1599000000.0,,,,
44,DD,"DUPONT DE NEMOURS, INC.",2023-12-31,10-K,2024-02-15,2392000000.0,7859000000.0,423000000.0,,12068000000.0,,24279000000.0,38552000000.0,13827000000.0
45,DD,"DUPONT DE NEMOURS, INC.",2023-12-31,10-K,2025-02-14,2392000000.0,,423000000.0,,12068000000.0,,24279000000.0,38552000000.0,13827000000.0
46,DD,"DUPONT DE NEMOURS, INC.",2023-12-31,10-K,2026-02-17,,,423000000.0,,6614000000.0,,,38552000000.0,
41,DD,"DUPONT DE NEMOURS, INC.",2022-12-31,10-K,2023-02-15,3662000000.0,8145000000.0,5868000000.0,,13017000000.0,,26569000000.0,41355000000.0,14338000000.0
42,DD,"DUPONT DE NEMOURS, INC.",2022-12-31,10-K,2024-02-15,3662000000.0,8145000000.0,5868000000.0,,13017000000.0,,26569000000.0,41355000000.0,14338000000.0
43,DD,"DUPONT DE NEMOURS, INC.",2022-12-31,10-K,2025-02-14,,,5868000000.0,,13017000000.0,,,41355000000.0,
38,DD,"DUPONT DE NEMOURS, INC.",2021-12-31,10-K,2022-02-11,2011000000.0,10632000000.0,6467000000.0,,16653000000.0,,26433000000.0,45707000000.0,18657000000.0
39,DD,"DUPONT DE NEMOURS, INC.",2021-12-31,10-K,2023-02-15,1972000000.0,10632000000.0,6467000000.0,,12566000000.0,,26433000000.0,45707000000.0,18657000000.0
40,DD,"DUPONT DE NEMOURS, INC.",2021-12-31,10-K,2024-02-15,,,6467000000.0,,12566000000.0,,,45707000000.0,
35,DD,"DUPONT DE NEMOURS, INC.",2020-12-31,10-K,2021-02-12,2544000000.0,-21811000000.0,222000000.0,5252000000.0,,734204000.0,38504000000.0,70904000000.0,31834000000.0
36,DD,"DUPONT DE NEMOURS, INC.",2020-12-31,10-K,2022-02-11,2544000000.0,15612000000.0,-2951000000.0,,14338000000.0,,38504000000.0,70904000000.0,31834000000.0
37,DD,"DUPONT DE NEMOURS, INC.",2020-12-31,10-K,2023-02-15,,,-2951000000.0,,11128000000.0,,,70903000000.0,
32,DD,"DUPONT DE NEMOURS, INC.",2019-12-31,10-K,2020-02-14,1540000000.0,-15618000000.0,176000000.0,5204000000.0,,738565000.0,40987000000.0,69396000000.0,27840000000.0
33,DD,"DUPONT DE NEMOURS, INC.",2019-12-31,10-K,2021-02-12,1540000000.0,-15618000000.0,176000000.0,5204000000.0,,738565000.0,40987000000.0,69349000000.0,27793000000.0
34,DD,"DUPONT DE NEMOURS, INC.",2019-12-31,10-K,2022-02-11,,,498000000.0,,15436000000.0,,,69349000000.0,
31,DD,"DUPONT DE NEMOURS, INC.",2019-09-30,10-K,2020-02-14,,,372000000.0,5426000000.0,,,,,
30,DD,"DUPONT DE NEMOURS, INC.",2019-06-30,10-K,2020-02-14,,,-571000000.0,5468000000.0,,,,,
29,DD,"DUPONT DE NEMOURS, INC.",2019-03-31,10-K,2020-02-14,,,521000000.0,5414000000.0,,,,,
26,DD,"DUPONT DE NEMOURS, INC.",2018-12-31,10-K,2019-02-11,13482000000.0,38299000000.0,475000000.0,20099000000.0,,,94571000000.0,188030000000.0,
27,DD,"DUPONT DE NEMOURS, INC.",2018-12-31,10-K,2020-02-14,8548000000.0,-12635000000.0,482000000.0,5457000000.0,,784143000.0,94292000000.0,187855000000.0,91955000000.0
28,DD,"DUPONT DE NEMOURS, INC.",2018-12-31,10-K,2021-02-12,,,3845000000.0,22594000000.0,,784143000.0,,187855000000.0,
24,DD,"DUPONT DE NEMOURS, INC.",2018-09-30,10-K,2019-02-11,,,497000000.0,20123000000.0,,,,,
25,DD,"DUPONT DE NEMOURS, INC.",2018-09-30,10-K,2020-02-14,,,501000000.0,5683000000.0,,,,,
22,DD,"DUPONT DE NEMOURS, INC.",2018-06-30,10-K,2019-02-11,,,1768000000.0,24245000000.0,,,,,
23,DD,"DUPONT DE NEMOURS, INC.",2018-06-30,10-K,2020-02-14,,,1769000000.0,5857000000.0,,,,,
20,DD,"DUPONT DE NEMOURS, INC.",2018-03-31,10-K,2019-02-11,,,1104000000.0,21510000000.0,,,,,
21,DD,"DUPONT DE NEMOURS, INC.",2018-03-31,10-K,2020-02-14,,,1093000000.0,5597000000.0,,,,,
19,DD,"DUPONT DE NEMOURS, INC.",2018-01-01,10-K,2019-02-11,,,,,,,100289000000.0,192419000000.0,
15,DD,"DUPONT DE NEMOURS, INC.",2017-12-31,10-K,2018-02-15,13438000000.0,32123000000.0,-1263000000.0,,,,100330000000.0,192164000000.0,
16,DD,"DUPONT DE NEMOURS, INC.",2017-12-31,10-K,2019-02-11,13438000000.0,32123000000.0,-1263000000.0,20066000000.0,,,100330000000.0,192164000000.0,
17,DD,"DUPONT DE NEMOURS, INC.",2017-12-31,10-K,2020-02-14,,,1159000000.0,11672000000.0,,780485000.0,,191907000000.0,
18,DD,"DUPONT DE NEMOURS, INC.",2017-12-31,10-K,2021-02-12,,,,,,780485000.0,,,
13,DD,"DUPONT DE NEMOURS, INC.",2017-09-30,10-K,2018-02-15,,,514000000.0,,,,,,
14,DD,"DUPONT DE NEMOURS, INC.",2017-09-30,10-K,2019-02-11,,,514000000.0,15354000000.0,,,,,
12,DD,"DUPONT DE NEMOURS, INC.",2017-09-01,10-K,2020-02-14,,,,,,779512000.0,,,
10,DD,"DUPONT DE NEMOURS, INC.",2017-06-30,10-K,2018-02-15,,,1321000000.0,,,,,,
11,DD,"DUPONT DE NEMOURS, INC.",2017-06-30,10-K,2019-02-11,,,1321000000.0,13834000000.0,,,,,
8,DD,"DUPONT DE NEMOURS, INC.",2017-03-31,10-K,2018-02-15,,,888000000.0,,,,,,
9,DD,"DUPONT DE NEMOURS, INC.",2017-03-31,10-K,2019-02-11,,,888000000.0,13230000000.0,,,,,
7,DD,"DUPONT DE NEMOURS, INC.",2017-01-01,10-K,2020-02-14,,,,,,414265000.0,,,
5,DD,"DUPONT DE NEMOURS, INC.",2016-12-31,10-K,2018-02-15,6607000000.0,21091000000.0,52000000.0,,,,25987000000.0,79511000000.0,
6,DD,"DUPONT DE NEMOURS, INC.",2016-12-31,10-K,2019-02-11,6607000000.0,,4318000000.0,48158000000.0,,,,79511000000.0,
4,DD,"DUPONT DE NEMOURS, INC.",2016-09-30,10-K,2018-02-15,,,804000000.0,,,,,,
3,DD,"DUPONT DE NEMOURS, INC.",2016-06-30,10-K,2018-02-15,,,3208000000.0,,,,,,
2,DD,"DUPONT DE NEMOURS, INC.",2016-03-31,10-K,2018-02-15,,,254000000.0,,,,,,
1,DD,"DUPONT DE NEMOURS, INC.",2015-12-31,10-K,2018-02-15,8577000000.0,,7685000000.0,,,,,67938000000.0,
0,DD,"DUPONT DE NEMOURS, INC.",2014-12-31,10-K,2018-02-15,5654000000.0,,,,,,,,
