,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
12,PDD,PDD Holdings Inc.,2024-12-31,20-F,2025-04-28,7914191000.0,15403464000.0,14853871000.0,53955324000.0,5568585848.0,42923722000.0,69189417000.0,26265695000.0
10,PDD,PDD Holdings Inc.,2023-12-31,20-F,2024-04-25,8421875000.0,8454562000.0,8267548000.0,34879253000.0,5503491148.0,26372429000.0,49025778000.0,22653349000.0
11,PDD,PDD Holdings Inc.,2023-12-31,20-F,2025-04-28,,,,,5503491148.0,,,
8,PDD,PDD Holdings Inc.,2022-12-31,20-F,2023-04-26,4976830000.0,4572589000.0,4407864000.0,18929071000.0,,17075177000.0,34379162000.0,17303985000.0
9,PDD,PDD Holdings Inc.,2022-12-31,20-F,2024-04-25,,,,,5278348396.0,,,
7,PDD,PDD Holdings Inc.,2021-12-31,20-F,2022-04-25,1008492000.0,1219074000.0,1082252000.0,14742796000.0,,11787112000.0,28435759000.0,16648647000.0
6,PDD,PDD Holdings Inc.,2020-12-31,20-F,2021-04-30,3436198000.0,-1100344000.0,-1437598000.0,9117527000.0,,9222358000.0,24353811000.0,15131453000.0
5,PDD,PDD Holdings Inc.,2019-12-31,20-F,2020-04-24,828548000.0,-1000834000.0,-1226437000.0,4329611000.0,,3540300000.0,10924953000.0,7384653000.0
3,PDD,PDD Holdings Inc.,2018-12-31,20-F,2019-04-24,2059533000.0,-1486020000.0,-1570758000.0,1908223000.0,,2737631000.0,6280571000.0,3542940000.0
4,PDD,PDD Holdings Inc.,2018-12-31,20-F,2020-04-24,,,,,4455688688.0,,,
1,PDD,PDD Holdings Inc.,2017-12-31,20-F,2019-04-24,,,,,1758769820.0,,,
2,PDD,PDD Holdings Inc.,2017-12-31,20-F,2020-04-24,,,,,1758769820.0,,,
0,PDD,PDD Holdings Inc.,2016-12-31,20-F,2019-04-24,,,,,1815200000.0,,,
