,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,ADBE,ADOBE INC.,2008-11-28,10-K,2012-01-26,886.45,,871.814,1028.271,3579889000.0,526111000.0,4410.354,5821.598,1411.244
1970-01-01 00:00:00.000000012,ADBE,ADOBE INC.,2009-11-27,10-K,2013-01-22,999.487,,386.508,690.513,2945853000.0,522657000.0,4890.568,7282.237,2391.669
1970-01-01 00:00:00.000000022,ADBE,ADOBE INC.,2010-12-03,10-K,2014-01-21,749.891,,774.68,993.074,3800000000.0,501897000.0,5192.387,8141.148,2948.761
1970-01-01 00:00:00.000000032,ADBE,ADOBE INC.,2011-12-02,10-K,2015-01-20,989.5,,832.847,1099.299,4216258000.0,491540000.0,5783.113,8991.183,3208.07
1970-01-01 00:00:00.000000042,ADBE,ADOBE INC.,2012-11-30,10-K,2016-01-19,1425.052,,832.775,1180.191,4403677000.0,494132000.0,6665.182,10040.229,3375.047
1970-01-01 00:00:00.000000052,ADBE,ADOBE INC.,2013-11-29,10-K,2017-01-20,834.556,,289.985,422.723,4055240000.0,496261000.0,6724.634,10380.298,3655.664
1970-01-01 00:00:00.000000062,ADBE,ADOBE INC.,2014-11-28,10-K,2018-01-22,1117.4,,268.395,412.685,4147065000.0,497484000.0,6775.905,10785.829,4009.924
1970-01-01 00:00:00.000000072,ADBE,ADOBE INC.,2015-11-27,10-K,2019-01-25,876.56,,629.551,903.095,4795511000.0,497809000.0,7001.58,11726.472,4724.892
1970-01-01 00:00:00.000000082,ADBE,ADOBE INC.,2016-12-02,10-K,2020-01-21,1011.315,,1168.782,1493.602,5854430000.0,494254000.0,7424.835,12697.246,5272.411
1970-01-01 00:00:00.000000092,ADBE,ADOBE INC.,2017-12-01,10-K,2021-01-15,2306.0,,1693.954,2168.095,7301505000.0,491262000.0,8459.0,14535.556,6075.687
1970-01-01 00:00:00.000000102,ADBE,ADOBE INC.,2018-11-30,10-K,2022-01-21,1643.0,,2591.0,2840.0,9030000000.0,487663000.0,9362.0,18768.682,9406.568
1970-01-01 00:00:00.000000112,ADBE,ADOBE INC.,2019-11-29,10-K,2023-01-17,2650.0,989000000.0,2951.0,3268.0,11171000000.0,483000000.0,10530.0,20762.0,10232.0
1970-01-01 00:00:00.000000119,ADBE,ADOBE INC.,2020-11-27,10-K,2024-01-17,4478.0,4117000000.0,5260.0,4237.0,12868000000.0,479000000.0,13264.0,24284.0,11020.0
1970-01-01 00:00:00.000000123,ADBE,ADOBE INC.,2021-12-03,10-K,2025-01-13,3844.0,4123000000.0,4822.0,5802.0,15785000000.0,475000000.0,14797.0,27241.0,12444.0
1970-01-01 00:00:00.000000127,ADBE,ADOBE INC.,2022-12-02,10-K,2026-01-15,4236.0,3629000000.0,4756.0,6098.0,17606000000.0,462000000.0,14051.0,27165.0,13114.0
1970-01-01 00:00:00.000000130,ADBE,ADOBE INC.,2023-12-01,10-K,2026-01-15,7141.0,3634000000.0,5428.0,6650.0,19409000000.0,455000000.0,16518.0,29779.0,13261.0
1970-01-01 00:00:00.000000132,ADBE,ADOBE INC.,2024-11-29,10-K,2026-01-15,7613.0,4129000000.0,5560.0,6741.0,21505000000.0,441000000.0,14105.0,30230.0,16125.0
1970-01-01 00:00:00.000000133,ADBE,ADOBE INC.,2025-11-28,10-K,2026-01-15,5431.0,6210000000.0,7130.0,8706.0,23769000000.0,413000000.0,11623.0,29496.0,17873.0
