,ticker,company,end_date,form,filed,long_term_debt,net_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000016,AIG,"American International Group, Inc.",2011-09-30,10-K,2012-02-23,75253000000.0,-4109.0,12716000000.0,,101538.0,553054.0,442138.0
1970-01-01 00:00:00.000000020,AIG,"American International Group, Inc.",2011-12-31,10-K,2014-02-20,75253000000.0,20622.0,65105000000.0,,101538.0,553054.0,442138.0
1970-01-01 00:00:00.000000030,AIG,"American International Group, Inc.",2012-12-31,10-K,2016-02-19,48500000000.0,3438.0,71214000000.0,1476321935.0,98002.0,548633.0,449630.0
1970-01-01 00:00:00.000000040,AIG,"American International Group, Inc.",2013-12-31,10-K,2017-02-23,41693000000.0,9085.0,68874000000.0,1464063323.0,100470.0,541329.0,440218.0
1970-01-01 00:00:00.000000050,AIG,"American International Group, Inc.",2014-12-31,10-K,2018-02-16,31217000000.0,7529.0,64406000000.0,1375926971.0,106898.0,515581.0,408309.0
1970-01-01 00:00:00.000000060,AIG,"American International Group, Inc.",2015-12-31,10-K,2019-02-15,29249000000.0,2196.0,58327000000.0,1193916617.0,89658.0,496842.0,406632.0
1970-01-01 00:00:00.000000070,AIG,"American International Group, Inc.",2016-12-31,10-K,2020-02-21,30912000000.0,-849.0,52367000000.0,995335841.0,76300.0,498264.0,421406.0
1970-01-01 00:00:00.000000080,AIG,"American International Group, Inc.",2017-12-31,10-K,2021-02-19,31640000000.0,-6084.0,49520000000.0,899044657.0,65171.0,498301.0,432593.0
1970-01-01 00:00:00.000000090,AIG,"American International Group, Inc.",2018-12-31,10-K,2022-02-17,34540000000.0,-6.0,47389000000.0,866609429.0,56361.0,491984.0,434675.0
1970-01-01 00:00:00.000000097,AIG,"American International Group, Inc.",2019-12-31,10-K,2023-02-17,35350000000.0,3348.0,49746000000.0,870000000.0,65675.0,525064.0,457637.0
1970-01-01 00:00:00.000000101,AIG,"American International Group, Inc.",2020-12-31,10-K,2024-02-14,37534000000.0,-5944.0,43736000000.0,861600000.0,66362.0,586481.0,519282.0
1970-01-01 00:00:00.000000102,AIG,"American International Group, Inc.",2021-01-01,10-K,2024-02-14,,10367.0,52157000000.0,818700000.0,65098.0,598841.0,532906.0
1970-01-01 00:00:00.000000106,AIG,"American International Group, Inc.",2021-12-31,10-K,2025-02-13,30163000000.0,10367.0,52157000000.0,818700000.0,65956.0,596112.0,527200.0
1970-01-01 00:00:00.000000110,AIG,"American International Group, Inc.",2022-12-31,10-K,2026-02-12,,10227.0,29996000000.0,734100000.0,40970.0,522228.0,478774.0
1970-01-01 00:00:00.000000113,AIG,"American International Group, Inc.",2023-09-30,10-K,2025-02-13,10606000000.0,2027.0,7267000000.0,688800000.0,45351.0,539306.0,488005.0
1970-01-01 00:00:00.000000116,AIG,"American International Group, Inc.",2023-12-31,10-K,2026-02-12,10606000000.0,3643.0,27938000000.0,688800000.0,45351.0,539306.0,488005.0
1970-01-01 00:00:00.000000118,AIG,"American International Group, Inc.",2024-06-30,10-K,2025-02-13,8922000000.0,-3977.0,6560000000.0,606100000.0,42521.0,161322.0,118772.0
1970-01-01 00:00:00.000000119,AIG,"American International Group, Inc.",2024-09-30,10-K,2025-02-13,8922000000.0,459.0,6751000000.0,606100000.0,42521.0,161322.0,118772.0
1970-01-01 00:00:00.000000121,AIG,"American International Group, Inc.",2024-12-31,10-K,2026-02-12,8922000000.0,-1404.0,27251000000.0,606100000.0,42521.0,161322.0,118772.0
1970-01-01 00:00:00.000000122,AIG,"American International Group, Inc.",2025-12-31,10-K,2026-02-12,9191000000.0,3096.0,26775000000.0,538200000.0,41139.0,161254.0,120092.0
