,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000008,CHTR,"Charter Communications, Inc.",2011-12-31,10-K,2015-02-24,2.0,,-369.0,1041.0,7204000000.0,409.0,15601.0
1970-01-01 00:00:00.000000018,CHTR,"Charter Communications, Inc.",2012-12-31,10-K,2016-02-10,7.0,,-304.0,915.0,7504000000.0,149.0,15596.0
1970-01-01 00:00:00.000000028,CHTR,"Charter Communications, Inc.",2013-12-31,10-K,2017-02-16,21.0,,-169.0,909.0,8155000000.0,151.0,17295.0
1970-01-01 00:00:00.000000038,CHTR,"Charter Communications, Inc.",2014-12-31,10-K,2018-02-02,3.0,20887000000.0,-183.0,971.0,9108000000.0,146.0,24388.0
1970-01-01 00:00:00.000000043,CHTR,"Charter Communications, Inc.",2015-09-30,10-K,2016-02-10,5.0,35723000000.0,-271.0,273.0,2450000000.0,-46.0,39316.0
1970-01-01 00:00:00.000000047,CHTR,"Charter Communications, Inc.",2015-12-31,10-K,2018-02-02,5.0,35723000000.0,-271.0,1114.0,9754000000.0,-46.0,39316.0
1970-01-01 00:00:00.000000052,CHTR,"Charter Communications, Inc.",2016-09-30,10-K,2017-02-16,1535.0,61747000000.0,189.0,924.0,10037000000.0,40139.0,149067.0
1970-01-01 00:00:00.000000056,CHTR,"Charter Communications, Inc.",2016-12-31,10-K,2019-01-31,1535.0,61747000000.0,3522.0,2456.0,29003000000.0,40139.0,149067.0
1970-01-01 00:00:00.000000061,CHTR,"Charter Communications, Inc.",2017-09-30,10-K,2018-02-02,621.0,70231000000.0,48.0,909.0,10458000000.0,39084.0,146623.0
1970-01-01 00:00:00.000000065,CHTR,"Charter Communications, Inc.",2017-12-31,10-K,2020-01-31,621.0,70231000000.0,9895.0,4106.0,41581000000.0,39084.0,146623.0
1970-01-01 00:00:00.000000070,CHTR,"Charter Communications, Inc.",2018-09-30,10-K,2019-01-31,551.0,72827000000.0,493.0,1380.0,10892000000.0,36285.0,146130.0
1970-01-01 00:00:00.000000074,CHTR,"Charter Communications, Inc.",2018-12-31,10-K,2021-01-29,551.0,72827000000.0,1230.0,5221.0,43634000000.0,36285.0,146130.0
1970-01-01 00:00:00.000000079,CHTR,"Charter Communications, Inc.",2019-09-30,10-K,2020-01-31,3483.0,79078000000.0,387.0,1586.0,11450000000.0,31445.0,148188.0
1970-01-01 00:00:00.000000083,CHTR,"Charter Communications, Inc.",2019-12-31,10-K,2022-01-28,3483.0,79078000000.0,1668.0,6511.0,45764000000.0,31445.0,148188.0
1970-01-01 00:00:00.000000086,CHTR,"Charter Communications, Inc.",2020-09-30,10-K,2021-01-29,1001.0,82752000000.0,814.0,2172.0,12039000000.0,23805.0,144206.0
1970-01-01 00:00:00.000000089,CHTR,"Charter Communications, Inc.",2020-12-31,10-K,2023-01-27,1001.0,82752000000.0,3222.0,8405.0,48097000000.0,23805.0,144206.0
1970-01-01 00:00:00.000000092,CHTR,"Charter Communications, Inc.",2021-12-31,10-K,2024-02-02,601.0,91561000000.0,4654.0,10526.0,51682000000.0,14050.0,142491.0
1970-01-01 00:00:00.000000095,CHTR,"Charter Communications, Inc.",2022-12-31,10-K,2025-01-31,645.0,97603000000.0,5055.0,11962.0,54022000000.0,9119.0,144523.0
1970-01-01 00:00:00.000000098,CHTR,"Charter Communications, Inc.",2023-12-31,10-K,2026-01-30,709.0,97777000000.0,4557.0,12559.0,54607000000.0,11086.0,147193.0
1970-01-01 00:00:00.000000100,CHTR,"Charter Communications, Inc.",2024-12-31,10-K,2026-01-30,459.0,93933000000.0,5083.0,13118.0,55085000000.0,15587.0,150020.0
1970-01-01 00:00:00.000000101,CHTR,"Charter Communications, Inc.",2025-12-31,10-K,2026-01-30,477.0,94756000000.0,4987.0,12908.0,54774000000.0,16054.0,154213.0
