,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000012,CMS,CMS ENERGY CORPORATION,2010-12-31,10-K,2014-02-06,247.0,7174000000.0,340.0,978.0,6432000000.0,,249600000.0,2793.0,15616.0
1970-01-01 00:00:00.000000022,CMS,CMS ENERGY CORPORATION,2011-12-31,10-K,2015-02-05,161.0,7073000000.0,41.0,1003.0,6503000000.0,,254100000.0,3028.0,16452.0
1970-01-01 00:00:00.000000032,CMS,CMS ENERGY CORPORATION,2012-12-31,10-K,2016-02-11,93.0,7229000000.0,382.0,1003.0,6253000000.0,,264100000.0,3194.0,17131.0
1970-01-01 00:00:00.000000041,CMS,CMS ENERGY CORPORATION,2013-12-31,10-K,2016-02-11,172.0,7642000000.0,452.0,1142.0,6566000000.0,,266100000.0,3454.0,17290.0
1970-01-01 00:00:00.000000082,CMS,CMS ENERGY CORPORATION,2018-09-30,10-K,2019-02-05,153.0,,169.0,294.0,1599000000.0,6502000000.0,283400000.0,4755.0,24529.0
1970-01-01 00:00:00.000000086,CMS,CMS ENERGY CORPORATION,2018-12-31,10-K,2021-02-11,153.0,,657.0,1162.0,6873000000.0,6502000000.0,283400000.0,4755.0,24529.0
1970-01-01 00:00:00.000000091,CMS,CMS ENERGY CORPORATION,2019-09-30,10-K,2020-02-06,140.0,,207.0,351.0,1546000000.0,6403000000.0,283900000.0,5018.0,26837.0
1970-01-01 00:00:00.000000095,CMS,CMS ENERGY CORPORATION,2019-12-31,10-K,2022-02-10,140.0,,680.0,1115.0,6624000000.0,6403000000.0,283900000.0,5018.0,26837.0
1970-01-01 00:00:00.000000100,CMS,CMS ENERGY CORPORATION,2020-09-30,10-K,2021-02-11,32.0,,218.0,369.0,1575000000.0,6238000000.0,288900000.0,5496.0,29666.0
1970-01-01 00:00:00.000000104,CMS,CMS ENERGY CORPORATION,2020-12-31,10-K,2023-02-09,32.0,,755.0,1230.0,6418000000.0,6238000000.0,288900000.0,5496.0,29666.0
1970-01-01 00:00:00.000000107,CMS,CMS ENERGY CORPORATION,2021-09-30,10-K,2022-02-10,452.0,,189.0,260.0,1725000000.0,7075000000.0,289800000.0,6631.0,28753.0
1970-01-01 00:00:00.000000110,CMS,CMS ENERGY CORPORATION,2021-12-31,10-K,2024-02-08,452.0,,1353.0,1146.0,7329000000.0,7075000000.0,289800000.0,6631.0,28753.0
1970-01-01 00:00:00.000000113,CMS,CMS ENERGY CORPORATION,2022-12-31,10-K,2025-02-11,164.0,,837.0,1224.0,8596000000.0,8320000000.0,291300000.0,7015.0,31353.0
1970-01-01 00:00:00.000000116,CMS,CMS ENERGY CORPORATION,2023-12-31,10-K,2026-02-10,227.0,,887.0,1235.0,7462000000.0,7261000000.0,294400000.0,7544.0,33517.0
1970-01-01 00:00:00.000000118,CMS,CMS ENERGY CORPORATION,2024-12-31,10-K,2026-02-10,103.0,,1003.0,1487.0,7515000000.0,7320000000.0,298800000.0,8230.0,35920.0
1970-01-01 00:00:00.000000119,CMS,CMS ENERGY CORPORATION,2025-12-31,10-K,2026-02-10,509.0,,1071.0,1727.0,8539000000.0,8305000000.0,306400000.0,9144.0,39941.0
